#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GCNT3	MUC21	1858361	1856474	9606.ENSP00000379377	9606.ENSP00000365473	0	0	0	0	0	0	0.900	0	0.900
PNLIPRP3	MOGAT3	1854984	1842960	9606.ENSP00000358232	9606.ENSP00000223114	0	0	0	0	0	0	0.900	0	0.900
CCL25	GAL	1857886	1845782	9606.ENSP00000375086	9606.ENSP00000265643	0	0	0	0	0	0	0.900	0	0.900
QRFPR	EDN3	1858197	1851964	9606.ENSP00000377948	9606.ENSP00000337128	0	0	0	0	0	0	0.900	0.042	0.900
GALNT9	MUC17	1858481	1848442	9606.ENSP00000380488	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0	0.900
AGTR2	BRS3	1855573	1855318	9606.ENSP00000360973	9606.ENSP00000359682	0	0	0	0.678	0	0	0.900	0.053	0.900
CHRM1	F2RL2	1848849	1847768	9606.ENSP00000306490	9606.ENSP00000296641	0	0	0	0	0.043	0	0.900	0	0.900
CALCB	GPR83	1853002	1843679	9606.ENSP00000346017	9606.ENSP00000243673	0	0	0	0	0	0	0.900	0	0.900
CNR2	SSTR5	1856124	1847454	9606.ENSP00000363596	9606.ENSP00000293897	0	0	0	0	0	0	0.900	0	0.900
GCG	F2RL2	1859292	1847768	9606.ENSP00000387662	9606.ENSP00000296641	0	0	0	0	0	0	0.900	0	0.900
ADCY8	MCHR2	1847008	1846744	9606.ENSP00000286355	9606.ENSP00000281806	0	0	0	0	0	0	0.900	0.048	0.900
CCL25	GRM4	1857886	1856056	9606.ENSP00000375086	9606.ENSP00000363296	0	0	0	0	0	0	0.900	0	0.900
HCRTR2	NTS	1855363	1844400	9606.ENSP00000359899	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0.050	0.900
CNR2	HTR1E	1856124	1848996	9606.ENSP00000363596	9606.ENSP00000307766	0	0	0	0	0	0	0.900	0	0.900
CALCB	ADCY8	1853002	1847008	9606.ENSP00000346017	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0	0.900
TAS2R1	ADCY8	1857537	1847008	9606.ENSP00000371932	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0	0.900
PRSS3	DEFA5	1854099	1851192	9606.ENSP00000354280	9606.ENSP00000329890	0	0	0	0	0	0	0.900	0	0.900
SPSB4	TRIM9	1849444	1847957	9606.ENSP00000311609	9606.ENSP00000298355	0	0	0	0	0	0	0.900	0	0.900
ADRA1B	NTS	1848870	1844400	9606.ENSP00000306662	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0.049	0.900
TAS2R1	SSTR1	1857537	1845937	9606.ENSP00000371932	9606.ENSP00000267377	0	0	0	0	0	0	0.900	0	0.900
AGTR2	F2RL2	1855573	1847768	9606.ENSP00000360973	9606.ENSP00000296641	0	0	0	0.675	0	0	0.900	0	0.900
ASB4	TRIM9	1850345	1847957	9606.ENSP00000321388	9606.ENSP00000298355	0	0	0	0	0	0	0.900	0	0.900
ADRA1B	F2RL2	1848870	1847768	9606.ENSP00000306662	9606.ENSP00000296641	0	0	0	0	0	0	0.900	0	0.900
GIP	RXFP2	1853529	1847959	9606.ENSP00000350005	9606.ENSP00000298386	0	0	0	0	0	0	0.900	0	0.900
AGTR2	ADCY8	1855573	1847008	9606.ENSP00000360973	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0.048	0.900
NPSR1	EDN3	1853905	1851964	9606.ENSP00000352839	9606.ENSP00000337128	0	0	0	0	0	0	0.900	0	0.900
EDN3	MCHR2	1851964	1846744	9606.ENSP00000337128	9606.ENSP00000281806	0	0	0	0	0	0	0.900	0	0.900
NTSR1	CHRM1	1855276	1848849	9606.ENSP00000359532	9606.ENSP00000306490	0	0	0	0.621	0	0	0.900	0.063	0.900
CNR2	PTGDR2	1856124	1851524	9606.ENSP00000363596	9606.ENSP00000332812	0	0	0	0	0	0	0.900	0	0.900
CCL25	SST	1857886	1847077	9606.ENSP00000375086	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0	0.900
ADRA1B	MCHR2	1848870	1846744	9606.ENSP00000306662	9606.ENSP00000281806	0	0	0	0.633	0	0	0.900	0	0.900
AGTR2	HTR1E	1855573	1848996	9606.ENSP00000360973	9606.ENSP00000307766	0	0	0	0	0	0	0.900	0.043	0.900
HTR1E	ADCY8	1848996	1847008	9606.ENSP00000307766	9606.ENSP00000286355	0	0	0	0	0.042	0	0.900	0.048	0.900
CNR2	PPY	1856124	1843068	9606.ENSP00000363596	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
NTSR1	F2RL2	1855276	1847768	9606.ENSP00000359532	9606.ENSP00000296641	0	0	0	0.632	0	0	0.900	0	0.900
NPSR1	MCHR2	1853905	1846744	9606.ENSP00000352839	9606.ENSP00000281806	0	0	0	0.650	0	0	0.900	0	0.900
NTSR1	UTS2R	1855276	1850551	9606.ENSP00000359532	9606.ENSP00000323516	0	0	0	0.643	0.048	0	0.900	0	0.900
CALCB	TSHR	1853002	1847934	9606.ENSP00000346017	9606.ENSP00000298171	0	0	0	0	0	0	0.900	0.041	0.900
CCL25	PPY	1857886	1843068	9606.ENSP00000375086	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
QRFPR	ADRA1B	1858197	1848870	9606.ENSP00000377948	9606.ENSP00000306662	0	0	0	0.659	0.044	0	0.900	0	0.900
QRFPR	MCHR2	1858197	1846744	9606.ENSP00000377948	9606.ENSP00000281806	0	0	0	0.665	0	0	0.900	0	0.900
PTGDR2	MCHR2	1851524	1846744	9606.ENSP00000332812	9606.ENSP00000281806	0	0	0	0.667	0	0	0.900	0.067	0.900
ADRA1B	UTS2	1848870	1842225	9606.ENSP00000306662	9606.ENSP00000054668	0	0	0	0	0.048	0	0.900	0	0.900
F2RL2	MCHR2	1847768	1846744	9606.ENSP00000296641	9606.ENSP00000281806	0	0	0	0.683	0	0	0.900	0	0.900
TAS2R1	SSTR5	1857537	1847454	9606.ENSP00000371932	9606.ENSP00000293897	0	0	0	0	0	0	0.900	0	0.900
PNLIPRP3	PNLIP	1854984	1854981	9606.ENSP00000358232	9606.ENSP00000358223	0	0	0	0.938	0	0	0.900	0.123	0.900
GCG	RXFP2	1859292	1847959	9606.ENSP00000387662	9606.ENSP00000298386	0	0	0	0	0	0	0.900	0	0.900
PTGDR2	ADCY8	1851524	1847008	9606.ENSP00000332812	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0	0.900
MCHR2	PPY	1846744	1843068	9606.ENSP00000281806	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0.044	0.900
CALCA	ADCY8	1851388	1847008	9606.ENSP00000331746	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0	0.900
GRM3	PTGDR2	1854350	1851524	9606.ENSP00000355316	9606.ENSP00000332812	0	0	0	0	0	0	0.900	0	0.900
HCRTR2	NTSR1	1855363	1855276	9606.ENSP00000359899	9606.ENSP00000359532	0	0	0	0.669	0	0	0.900	0	0.900
BRS3	F2RL2	1855318	1847768	9606.ENSP00000359682	9606.ENSP00000296641	0	0	0	0.664	0	0	0.900	0.041	0.900
CNTN2	USH1C	1851273	1842127	9606.ENSP00000330633	9606.ENSP00000005226	0	0	0	0	0	0	0.900	0	0.900
HTR1E	PPY	1848996	1843068	9606.ENSP00000307766	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
TAS2R1	PPY	1857537	1843068	9606.ENSP00000371932	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
TAS2R1	PTGDR2	1857537	1851524	9606.ENSP00000371932	9606.ENSP00000332812	0	0	0	0	0.050	0	0.900	0	0.900
GALNT9	MUC21	1858481	1856474	9606.ENSP00000380488	9606.ENSP00000365473	0	0	0	0	0	0	0.900	0	0.900
TAS2R1	HTR1E	1857537	1848996	9606.ENSP00000371932	9606.ENSP00000307766	0	0	0	0	0	0	0.900	0	0.900
COL2A1	COL20A1	1857237	1853764	9606.ENSP00000369889	9606.ENSP00000351767	0	0	0	0.610	0	0	0.900	0.054	0.900
CALCB	SCTR	1853002	1842186	9606.ENSP00000346017	9606.ENSP00000019103	0	0	0	0	0.046	0	0.900	0	0.900
HCRTR2	CHRM1	1855363	1848849	9606.ENSP00000359899	9606.ENSP00000306490	0	0	0	0.627	0	0	0.900	0.051	0.900
NTSR1	ADRA1B	1855276	1848870	9606.ENSP00000359532	9606.ENSP00000306662	0	0	0	0.630	0	0	0.900	0	0.900
AGTR2	NPY5R	1855573	1852206	9606.ENSP00000360973	9606.ENSP00000339377	0	0	0	0.628	0	0	0.900	0.065	0.900
CALCB	MC4R	1853002	1848101	9606.ENSP00000346017	9606.ENSP00000299766	0	0	0	0	0	0	0.900	0	0.900
BRS3	NTSR1	1855318	1855276	9606.ENSP00000359682	9606.ENSP00000359532	0	0	0	0.637	0	0	0.900	0	0.900
FGF10	FGFBP2	1845589	1844745	9606.ENSP00000264664	9606.ENSP00000259989	0	0	0	0	0	0	0.900	0	0.900
SLC18A3	CFTR	1856047	1842118	9606.ENSP00000363229	9606.ENSP00000003084	0	0	0	0	0	0	0.900	0.049	0.900
NPSR1	GIP	1853905	1853529	9606.ENSP00000352839	9606.ENSP00000350005	0	0	0	0	0	0	0.900	0	0.900
ANKRD1	FABP1	1855533	1847629	9606.ENSP00000360762	9606.ENSP00000295834	0	0	0	0	0	0	0.900	0	0.900
CCL25	PTGDR2	1857886	1851524	9606.ENSP00000375086	9606.ENSP00000332812	0	0	0	0	0	0	0.900	0.050	0.900
CALCB	LHCGR	1853002	1847515	9606.ENSP00000346017	9606.ENSP00000294954	0	0	0	0	0	0	0.900	0	0.900
NPSR1	GPR83	1853905	1843679	9606.ENSP00000352839	9606.ENSP00000243673	0	0	0	0.637	0	0	0.900	0	0.900
TAS2R1	AGTR2	1857537	1855573	9606.ENSP00000371932	9606.ENSP00000360973	0	0	0	0	0	0	0.900	0	0.900
BRS3	UTS2R	1855318	1850551	9606.ENSP00000359682	9606.ENSP00000323516	0	0	0	0.679	0	0	0.900	0.065	0.900
CALCB	RXFP2	1853002	1847959	9606.ENSP00000346017	9606.ENSP00000298386	0	0	0	0	0	0	0.900	0	0.900
NTSR1	NPSR1	1855276	1853905	9606.ENSP00000359532	9606.ENSP00000352839	0	0	0	0.646	0.042	0	0.900	0.053	0.900
ADCY8	PPY	1847008	1843068	9606.ENSP00000286355	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
CNR2	SSTR1	1856124	1845937	9606.ENSP00000363596	9606.ENSP00000267377	0	0	0	0	0	0	0.900	0	0.900
AGTR2	SSTR5	1855573	1847454	9606.ENSP00000360973	9606.ENSP00000293897	0	0	0	0.732	0	0	0.900	0	0.900
AGTR2	UTS2	1855573	1842225	9606.ENSP00000360973	9606.ENSP00000054668	0	0	0	0	0	0	0.900	0	0.900
HCRTR2	BRS3	1855363	1855318	9606.ENSP00000359899	9606.ENSP00000359682	0	0	0	0.726	0	0	0.900	0	0.900
AGTR2	MCHR2	1855573	1846744	9606.ENSP00000360973	9606.ENSP00000281806	0	0	0	0.687	0	0	0.900	0.047	0.900
B3GNT6	MUC17	1862000	1848442	9606.ENSP00000435352	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0	0.900
NPSR1	CALCB	1853905	1853002	9606.ENSP00000352839	9606.ENSP00000346017	0	0	0	0	0	0	0.900	0	0.900
EDN3	ADRA1B	1851964	1848870	9606.ENSP00000337128	9606.ENSP00000306662	0	0	0	0	0	0	0.900	0	0.900
B3GNT6	GALNT9	1862000	1858481	9606.ENSP00000435352	9606.ENSP00000380488	0	0	0	0	0	0	0.900	0	0.900
CNR2	MCHR2	1856124	1846744	9606.ENSP00000363596	9606.ENSP00000281806	0	0	0	0	0	0	0.900	0	0.900
TRH	F2RL2	1848532	1847768	9606.ENSP00000303452	9606.ENSP00000296641	0	0	0	0	0	0	0.900	0	0.900
CALCA	GPR83	1851388	1843679	9606.ENSP00000331746	9606.ENSP00000243673	0	0	0	0	0	0	0.900	0	0.900
B3GNT6	WBSCR17	1862000	1851171	9606.ENSP00000435352	9606.ENSP00000329654	0	0	0	0	0	0	0.900	0	0.900
VIP	GPR83	1854549	1843679	9606.ENSP00000356213	9606.ENSP00000243673	0	0	0	0	0	0	0.900	0	0.900
MUC21	WBSCR17	1856474	1851171	9606.ENSP00000365473	9606.ENSP00000329654	0	0	0	0	0	0	0.900	0	0.900
TAS2R1	GAL	1857537	1845782	9606.ENSP00000371932	9606.ENSP00000265643	0	0	0	0	0	0	0.900	0	0.900
TAS2R1	NPY5R	1857537	1852206	9606.ENSP00000371932	9606.ENSP00000339377	0	0	0	0	0	0	0.900	0	0.900
EDN3	F2RL2	1851964	1847768	9606.ENSP00000337128	9606.ENSP00000296641	0	0	0	0	0.049	0	0.900	0	0.900
SLC18A3	SLC17A8	1856047	1849916	9606.ENSP00000363229	9606.ENSP00000316909	0	0	0	0	0.057	0	0.800	0.514	0.900
B3GNT6	MUC21	1862000	1856474	9606.ENSP00000435352	9606.ENSP00000365473	0	0	0	0	0.042	0	0.900	0	0.900
GPC3	APOA4	1858180	1853595	9606.ENSP00000377836	9606.ENSP00000350425	0	0	0	0	0	0	0.900	0	0.900
HCRTR2	UTS2R	1855363	1850551	9606.ENSP00000359899	9606.ENSP00000323516	0	0	0	0.654	0.048	0	0.900	0	0.900
QRFPR	NTS	1858197	1844400	9606.ENSP00000377948	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0	0.900
GRM3	PPY	1854350	1843068	9606.ENSP00000355316	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
TF	ATP6V1B1	1859071	1843400	9606.ENSP00000385834	9606.ENSP00000234396	0	0	0	0	0	0	0.900	0	0.900
GIP	CALCB	1853529	1853002	9606.ENSP00000350005	9606.ENSP00000346017	0	0	0	0	0	0	0.900	0	0.900
ADCY8	GAL	1847008	1845782	9606.ENSP00000286355	9606.ENSP00000265643	0	0	0	0	0	0	0.900	0	0.900
GCG	UTS2R	1859292	1850551	9606.ENSP00000387662	9606.ENSP00000323516	0	0	0	0	0	0	0.900	0.049	0.900
HCRTR2	MCHR2	1855363	1846744	9606.ENSP00000359899	9606.ENSP00000281806	0	0	0	0.638	0	0	0.900	0	0.900
MUC6	GALNT9	1860626	1858481	9606.ENSP00000406861	9606.ENSP00000380488	0	0	0	0	0	0	0.900	0	0.900
CCL25	ADCY8	1857886	1847008	9606.ENSP00000375086	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0	0.900
QRFPR	BRS3	1858197	1855318	9606.ENSP00000377948	9606.ENSP00000359682	0	0	0	0.719	0	0	0.900	0.065	0.900
AGTR2	PPY	1855573	1843068	9606.ENSP00000360973	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0	0.900
CCL25	TAS2R1	1857886	1857537	9606.ENSP00000375086	9606.ENSP00000371932	0	0	0	0	0	0	0.900	0	0.900
WBSCR17	MUC17	1851171	1848442	9606.ENSP00000329654	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0	0.900
VIP	RXFP2	1854549	1847959	9606.ENSP00000356213	9606.ENSP00000298386	0	0	0	0	0	0	0.900	0.045	0.900
TAS2R1	CNR2	1857537	1856124	9606.ENSP00000371932	9606.ENSP00000363596	0	0	0	0	0	0	0.900	0	0.900
SHC4	NTRK2	1851173	1846523	9606.ENSP00000329668	9606.ENSP00000277120	0	0	0	0	0	0.173	0.800	0.434	0.898
NOTUM	WNT3A	1859265	1846912	9606.ENSP00000387310	9606.ENSP00000284523	0	0	0	0	0.093	0.360	0.800	0.220	0.897
HNF4A	HNF1A	1849587	1844515	9606.ENSP00000312987	9606.ENSP00000257555	0	0	0	0	0.258	0.360	0	0.799	0.896
NKX6-1	NEUROG3	1847632	1843627	9606.ENSP00000295886	9606.ENSP00000242462	0	0	0	0	0.049	0	0	0.894	0.896
SLC2A2	INS	1850555	1844030	9606.ENSP00000323568	9606.ENSP00000250971	0	0	0	0	0.042	0	0	0.895	0.896
AFP	APOA2	1858331	1854701	9606.ENSP00000379138	9606.ENSP00000356969	0	0	0	0	0.880	0	0	0.112	0.889
CPLX2	SNAP25	1853863	1844344	9606.ENSP00000352544	9606.ENSP00000254976	0	0	0	0	0.222	0	0.720	0.526	0.887
CAMK2B	ADCY8	1858327	1847008	9606.ENSP00000379098	9606.ENSP00000286355	0	0	0	0	0.052	0	0.800	0.436	0.883
SPP1	IBSP	1858269	1843083	9606.ENSP00000378517	9606.ENSP00000226284	0	0	0	0	0.054	0	0	0.878	0.879
KRT77	KRT10	1852618	1846102	9606.ENSP00000342710	9606.ENSP00000269576	0	0	0	0.650	0.441	0.774	0	0.250	0.878
UGT2B11	UGT2B10	1859293	1845745	9606.ENSP00000387683	9606.ENSP00000265403	0	0	0	0.988	0.876	0	0	0.578	0.876
BMX	STAP1	1849112	1845746	9606.ENSP00000308774	9606.ENSP00000265404	0	0	0	0	0.053	0.173	0	0.852	0.874
SP7	IBSP	1848454	1843083	9606.ENSP00000302812	9606.ENSP00000226284	0	0	0	0	0.049	0.074	0	0.869	0.874
CALML5	CACNA1G	1857202	1853790	9606.ENSP00000369689	9606.ENSP00000352011	0	0	0	0	0.049	0.329	0.800	0.112	0.871
HAP1	GABRB2	1851659	1846395	9606.ENSP00000334002	9606.ENSP00000274547	0	0	0	0	0	0.121	0.800	0.316	0.869
PYDC1	F2RL2	1848628	1847768	9606.ENSP00000304336	9606.ENSP00000296641	0	0	0	0	0	0	0	0.868	0.868
KLK8	SPINK9	1857950	1856773	9606.ENSP00000375682	9606.ENSP00000367139	0	0	0	0	0.053	0	0	0.866	0.867
SOHLH1	LHX8	1860475	1847496	9606.ENSP00000404438	9606.ENSP00000294638	0	0	0	0	0	0	0	0.867	0.867
KRT2	KRT10	1849358	1846102	9606.ENSP00000310861	9606.ENSP00000269576	0	0	0	0.649	0.224	0.774	0	0.758	0.865
HAP1	GABRA1	1851659	1842192	9606.ENSP00000334002	9606.ENSP00000023897	0	0	0	0	0	0	0.800	0.354	0.865
SP7	FAM19A4	1848454	1847587	9606.ENSP00000302812	9606.ENSP00000295569	0	0	0	0	0.864	0	0	0	0.864
SLC12A3	CLCNKB	1860326	1856357	9606.ENSP00000402152	9606.ENSP00000364831	0	0	0	0	0.218	0	0	0.831	0.862
MT1G	MT1H	1859555	1851267	9606.ENSP00000391397	9606.ENSP00000330587	0	0	0	0.955	0.858	0	0	0.758	0.862
ATP6V1B1	ATP12A	1843400	1842709	9606.ENSP00000234396	9606.ENSP00000218548	0	0	0	0	0.180	0.099	0	0.827	0.861
MSX1	FGF8	1857563	1850386	9606.ENSP00000372170	9606.ENSP00000321797	0	0	0	0	0.043	0	0	0.858	0.858
PRSS3	PRSS1	1854099	1849102	9606.ENSP00000354280	9606.ENSP00000308720	0	0	0.527	0.985	0.303	0	0.800	0.814	0.857
TF	HP	1859071	1853269	9606.ENSP00000385834	9606.ENSP00000348170	0	0	0	0	0.171	0.101	0	0.823	0.856
CALML5	GRIN2A	1857202	1851485	9606.ENSP00000369689	9606.ENSP00000332549	0	0	0	0	0	0.294	0.800	0.062	0.855
CACNA1B	INS	1855467	1844030	9606.ENSP00000360406	9606.ENSP00000250971	0	0	0	0	0	0	0.800	0.304	0.854
INSRR	INS	1854759	1844030	9606.ENSP00000357178	9606.ENSP00000250971	0	0	0	0	0	0	0.800	0.304	0.854
SST	NTS	1847077	1844400	9606.ENSP00000287641	9606.ENSP00000256010	0	0	0	0	0	0	0	0.843	0.843
KCNU1	KCNMB2	1858768	1853666	9606.ENSP00000382770	9606.ENSP00000351068	0	0	0	0	0	0	0.800	0.244	0.842
GCG	NKX6-1	1859292	1847632	9606.ENSP00000387662	9606.ENSP00000295886	0	0	0	0	0.051	0	0	0.840	0.842
GAD2	INS	1844680	1844030	9606.ENSP00000259271	9606.ENSP00000250971	0	0	0	0	0.121	0	0	0.826	0.840
PLA2G2E	PLA2G12B	1856240	1855812	9606.ENSP00000364257	9606.ENSP00000362123	0	0	0	0	0	0	0.800	0.235	0.840
HTN3	HTN1	1861914	1843842	9606.ENSP00000432561	9606.ENSP00000246896	0	0	0	0.972	0.216	0	0.800	0.866	0.840
TCL1A	TCL1B	1859012	1852672	9606.ENSP00000385036	9606.ENSP00000343223	0	0	0	0.782	0.052	0	0.800	0.869	0.839
ACE2	MEP1A	1844133	1843260	9606.ENSP00000252519	9606.ENSP00000230588	0	0	0	0	0.124	0	0.800	0.154	0.838
PRSS1	CPB1	1849102	1846826	9606.ENSP00000308720	9606.ENSP00000282957	0.054	0	0	0	0.709	0.134	0	0.400	0.838
VIP	PRL	1854549	1848376	9606.ENSP00000356213	9606.ENSP00000302150	0	0	0	0	0.049	0	0	0.836	0.838
TPO	TSHR	1850079	1847934	9606.ENSP00000318820	9606.ENSP00000298171	0	0	0	0	0.116	0	0	0.824	0.838
HP	CRP	1853269	1844348	9606.ENSP00000348170	9606.ENSP00000255030	0	0	0	0	0.137	0	0	0.820	0.838
CACNA1E	INS	1854621	1844030	9606.ENSP00000356545	9606.ENSP00000250971	0	0	0	0	0	0	0.800	0.221	0.837
HSPA6	DNAJC5G	1849273	1847674	9606.ENSP00000310219	9606.ENSP00000296097	0.309	0	0	0	0.400	0.329	0.274	0.320	0.837
GPC3	WNT8B	1858180	1852354	9606.ENSP00000377836	9606.ENSP00000340677	0	0	0	0	0.053	0.186	0.800	0.065	0.836
NKX2-2	NEUROD1	1856622	1847535	9606.ENSP00000366347	9606.ENSP00000295108	0	0	0	0	0.116	0	0	0.822	0.836
WNT8B	WIF1	1852354	1847019	9606.ENSP00000340677	9606.ENSP00000286574	0	0	0	0	0.052	0	0.800	0.200	0.835
CALML5	ADCY8	1857202	1847008	9606.ENSP00000369689	9606.ENSP00000286355	0	0	0	0	0.057	0.113	0.800	0.128	0.834
GRM3	GRIN2A	1854350	1851485	9606.ENSP00000355316	9606.ENSP00000332549	0	0	0	0	0.109	0.069	0	0.815	0.833
INS	PPY	1844030	1843068	9606.ENSP00000250971	9606.ENSP00000225992	0	0	0	0	0.092	0	0	0.822	0.831
FABP1	FABP2	1847629	1846353	9606.ENSP00000295834	9606.ENSP00000274024	0	0	0	0	0.227	0	0	0.790	0.831
F2RL2	GZMA	1847768	1846373	9606.ENSP00000296641	9606.ENSP00000274306	0	0	0	0	0	0.133	0.800	0.095	0.829
NEUROD1	INS	1847535	1844030	9606.ENSP00000295108	9606.ENSP00000250971	0	0	0	0	0.116	0	0	0.813	0.828
GIP	INS	1853529	1844030	9606.ENSP00000350005	9606.ENSP00000250971	0	0	0	0	0	0	0	0.826	0.826
AMBN	MMP20	1849652	1844766	9606.ENSP00000313809	9606.ENSP00000260228	0	0	0	0	0.054	0	0	0.823	0.825
CACNA1B	CACNA1E	1855467	1854621	9606.ENSP00000360406	9606.ENSP00000356545	0	0	0	0.834	0	0	0.800	0.782	0.825
HNF4A	INS	1849587	1844030	9606.ENSP00000312987	9606.ENSP00000250971	0	0	0	0	0.050	0	0	0.822	0.824
CYP26A1	CYP26B1	1842997	1842113	9606.ENSP00000224356	9606.ENSP00000001146	0	0	0.526	0.920	0.060	0	0.800	0.864	0.824
FGF8	WNT3A	1850386	1846912	9606.ENSP00000321797	9606.ENSP00000284523	0	0	0	0	0.047	0.118	0	0.807	0.824
ELAVL3	LGALS4	1853805	1848369	9606.ENSP00000352162	9606.ENSP00000302100	0	0	0	0	0	0	0	0.823	0.823
PRL	CNTFR	1848376	1843624	9606.ENSP00000302150	9606.ENSP00000242338	0	0	0	0	0	0	0.800	0.152	0.823
VIP	SST	1854549	1847077	9606.ENSP00000356213	9606.ENSP00000287641	0	0	0	0	0	0	0	0.823	0.823
ELAVL4	LGALS4	1853466	1848369	9606.ENSP00000349594	9606.ENSP00000302100	0	0	0	0	0	0	0	0.823	0.823
KRT2	KRT1	1849358	1844112	9606.ENSP00000310861	9606.ENSP00000252244	0	0	0	0.945	0.212	0.774	0	0.787	0.823
AMELX	MMP20	1857273	1844766	9606.ENSP00000370088	9606.ENSP00000260228	0	0	0	0	0.049	0	0	0.822	0.823
TRH	SST	1848532	1847077	9606.ENSP00000303452	9606.ENSP00000287641	0	0	0	0	0	0	0	0.822	0.822
GCG	SLC2A2	1859292	1850555	9606.ENSP00000387662	9606.ENSP00000323568	0	0	0	0	0	0	0	0.822	0.822
ASCL1	PHOX2B	1845903	1843088	9606.ENSP00000266744	9606.ENSP00000226382	0	0	0	0	0	0	0	0.821	0.821
KRT77	KRT2	1852618	1849358	9606.ENSP00000342710	9606.ENSP00000310861	0	0	0	0.927	0.217	0.774	0	0.344	0.820
PRL	SST	1848376	1847077	9606.ENSP00000302150	9606.ENSP00000287641	0	0	0	0	0	0	0	0.820	0.820
CACNA1G	INS	1853790	1844030	9606.ENSP00000352011	9606.ENSP00000250971	0	0	0	0	0	0	0.800	0.140	0.820
FLG	SPINK5	1854882	1853918	9606.ENSP00000357789	9606.ENSP00000352936	0	0	0	0	0.055	0	0	0.816	0.819
PRSS1	F2RL2	1849102	1847768	9606.ENSP00000308720	9606.ENSP00000296641	0	0	0	0	0	0.133	0.800	0	0.819
PRSS3	F2RL2	1854099	1847768	9606.ENSP00000354280	9606.ENSP00000296641	0	0	0	0	0	0.133	0.800	0.041	0.819
FLG	KRT1	1854882	1844112	9606.ENSP00000357789	9606.ENSP00000252244	0	0	0	0	0.406	0	0	0.704	0.816
SI	LCT	1845536	1845492	9606.ENSP00000264382	9606.ENSP00000264162	0.062	0	0	0	0.052	0	0	0.807	0.814
CPLX2	NEUROD2	1853863	1848877	9606.ENSP00000352544	9606.ENSP00000306754	0	0	0	0	0	0	0	0.814	0.814
INSM1	NEUROD1	1849554	1847535	9606.ENSP00000312631	9606.ENSP00000295108	0	0	0	0	0.057	0	0	0.811	0.814
ANKS4B	USH1C	1849111	1842127	9606.ENSP00000308772	9606.ENSP00000005226	0	0	0	0	0.202	0.407	0	0.632	0.811
PRSS1	KRT10	1849102	1846102	9606.ENSP00000308720	9606.ENSP00000269576	0	0	0	0	0	0.774	0	0.192	0.810
SST	CHGA	1847077	1842607	9606.ENSP00000287641	9606.ENSP00000216492	0	0	0	0	0.131	0	0	0.790	0.810
MMP9	CRP	1855661	1844348	9606.ENSP00000361405	9606.ENSP00000255030	0	0	0	0	0.052	0	0	0.805	0.807
GABRQ	HAP1	1855216	1851659	9606.ENSP00000359329	9606.ENSP00000334002	0	0	0	0	0.052	0.068	0.800	0	0.807
IFNK	CNTFR	1846521	1843624	9606.ENSP00000276943	9606.ENSP00000242338	0	0	0	0	0.053	0	0.800	0.065	0.807
ATRNL1	MC4R	1853132	1848101	9606.ENSP00000347152	9606.ENSP00000299766	0	0	0	0	0	0.408	0	0.686	0.806
SLC17A8	SLC17A6	1849916	1845295	9606.ENSP00000316909	9606.ENSP00000263160	0	0	0.527	0.981	0	0	0.800	0.841	0.805
SLC17A8	SLC17A7	1849916	1842841	9606.ENSP00000316909	9606.ENSP00000221485	0	0	0.527	0.981	0	0	0.800	0.838	0.805
SLC17A6	SLC17A7	1845295	1842841	9606.ENSP00000263160	9606.ENSP00000221485	0	0	0.527	0.984	0	0	0.800	0.928	0.804
SYP	SNAP25	1845310	1844344	9606.ENSP00000263233	9606.ENSP00000254976	0	0	0	0	0.222	0.114	0	0.738	0.804
NOTUM	WNT8B	1859265	1852354	9606.ENSP00000387310	9606.ENSP00000340677	0	0	0	0	0	0	0.800	0.064	0.804
PRL	IL13RA2	1848376	1843658	9606.ENSP00000302150	9606.ENSP00000243213	0	0	0	0	0	0	0.800	0.059	0.803
